Problem Size,Basic MFLOP/s,BLAS MFLOP/s
64,1032.742000,10364.905205
128,749.150078,302.875185
256,622.114251,100299.609616
512,315.141984,89772.730419
1024,186.314781,96684.863429
2048,107.254452,55823.117795
